Status Info,,,,,,,,,Reference Info,,,,,Pair Info,,,,X INFO,,,,,,,,,,,,,,Y INFO,,,,,,,,,,,,,,Type Info,,,,
Status,RV,UV,Stage,X,Y,T,Confidence,,Book,Ch,Entry,PV,,P.X,P.T,P.Y,,X.status,X.con,X.type,X.key,X.keys,X.int,X.ref,X.group,X.root,X.context,X.mode,X.gen,X.notes,,Y.status,Y.con,Y.type,Y.key,Y.keys,Y.int,Y.ref,Y.group,Y.root,Y.context,Y.mode,Y.gen,Y.notes,,T.type,T.polarity,T.mode,T.tag,T.notes
,,,,,,,,,pro,3,25-26,25-26,,,,,,,,,?? ,,"do not be afraid: faith, trust, etc",,faith,,,,,"different pair relationship? but suggestive would make Y an int ""not"" instead",,,,,?? ,,"keep from ""snare"" (need to decide int)",,safety,,,,from God,IM,,,,,,"different pair relationship? but suggestive would make Y an int ""not"" instead"
F,,,,,,,,,pro,3,27-32,27-32,,,,,,,,,do not... ,,,,?? ,,,,,do suggestive in v1? ,,,,,intimacy,"intimacy, confidence, private counsel",,,"intimacy, relationship, love",,,,with God,CG,,,,,,
,,,,,,,,,pro,3,27-32,32,,,,,,,,,?? ,"righteousness, uprightness",,,righteousness ,,,,,,,,,,intimacy,"intimacy, confidence, private counsel",,,"intimacy, relationship, love",,,,with God,CG,,,,,,
,,,,,,,,,pro,3,"27-/32-35, or individually? ",33,,,,,,,,,?? ,"righteousness, just/uprightness",,,righteousness ,"""just"" ",,,,,,,,,blessing,,establishment? since of house ,,provision/blessing,"""blesseth""",,of house,from God,,,,,,,
,,,,,,,,,pro,3,"27-/32-35, or individually? ",34,,,,,,,,,?? ,,humble? or oppression/etc,,?? ,"""grace""",,,,,,,,,grace,,,,grace,"""lowly"" ",,,from God,,,,,,,
,,,,,,,,,pro,3,"27-/32-35, or individually? ",35,,,,,,,,,wisdom,,,,wisdom,"""wise""",,,,,,,,,?? ,"honor, glory, ",,,honor,"""inherit glory"" ",,,from God,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,4,1-2,1,,,,,,,,,listening,,,,guidance/pursuit,,,,,"AC: own X, or mode of instruction ↓; for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)",,,,,understanding,,,,wisdom,,,,,listening also just relates to getting/receiving instruction? figure out and apply to all similar in chapter,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,1-2,1,,,,,,,,,instruction,,,,guidance,,,,,,,,,,understanding,,,,wisdom,,,,,,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,1-2,1,,,,,,,,,attentiveness,,,,guidance/pursuit,,,,,"check key and group, make sure none better later, also AC like above",,,,,understanding,,,,wisdom,,,,,,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
IP,,,,,,,,,pro,4,1-2,2,,,,,,,,,?? ,,"just general idea of relationship of instruction, or specific obedience, heedance, righteousness of? ",,guidance/righteousness,,,,,need to either CG or IM/AR for best key(s),,,,,?? ,,instruction? or guidance? ,,guidance,,,,,AR/IM: idek,,,,,,"very confusing to perfectly interpret, pairs could even be connected to verse 1"
P,,,,,,,,,pro,4,3-9,4,,,,,,,,,sonship,,,,sonship,,,,,"CG/AC: very deep, maybe do later? ",,,,,instruction,,"instruction, teaching",,guidance,,,,,"int from teaching, so CG and validation ",,,,,,
IP,,,,,,,,,pro,4,3-9,4,,,,,,,,,?? ,,,,guidance/pursuit,let thine heart retain my words,,,,need to determine key,,,,,life,,,,life,,,,,is keeping the commandments also a Y (separate),,,,,,could be start/X for all 4-9
P,,,,,,,,,pro,4,3-9,4,,,,,,,,,obedience,,"obedience, heedance? ",,guidance/pursuit,,,,,Check key for consistency later,,,,,life,,,,life,,,,,,,,,,,
F,,,,,,,,,pro,4,3-9,5-6,,,,,,,,,wisdom & understanding & instruction (don't forget & accept),,,,wisdom/pursuit,,,,,,,,,,?? ,,,,?? ,,,,,,,,,,,
F,,,,,,,,,pro,4,3-9,,,,,,,,,,wisdom,,,,wisdom/pursuit,get wisdom,,,,,,,,,wisdom & understanding,,,,?? ,,,,,,,,,,,relationship tbd
P,,,,,,,,,pro,4,3-9,7,,,,,,,,,pursuit,,,,guidance/pursuit,,,,,"is this the X, or just declarative? ",,,,,wisdom & understanding,,,,wisdom,,,,,,,,,,,"declarative/instructive, or actual causative? "
P,,,,,,,,,pro,4,3-9,8,,,,,,,,,wisdom,,wisdom,,wisdom/pursuit,,,,,"wisdom generally, or specifically valuing/exalting it?",,,,,?? ,"exaltation, promotion",glory? ,,honor,,,,,,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,3-9,8,,,,,,,,,wisdom,,wisdom,,wisdom/pursuit,,,,,"wisdom generally, or specifically embracing (int accept?) it?",,,,,honor,,,,honor,,,,,,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,3-9,(8-?) 9,,,,,,,,,wisdom,,wisdom,,wisdom/pursuit,,,,,"wisdom generally, or specifics referring to 8?",,,,,?? ,grace,"honor, glory, status, etc",,honor,,,,,need to int and CK/CG,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,3-9,(8-?) 9,,,,,,,,,wisdom,,wisdom,,wisdom/pursuit,,,,,"wisdom generally, or specifics referring to 8?",,,,,?? ,grace,"honor, glory, status, etc",,honor,,,,,need to int and CK/CG,,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,10-19,10,,,,,,,,,listening,,,,guidance/pursuit,,,,,"AC: own X, or mode of instruction ↓",,,,,life,,,,life,,,,,"CG: life/salvation, and long life better key or just mode? ",,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,10-19,10,,,,,,,,,instruction,,"int from sayings, also maybe something like word of God ",,guidance/pursuit,,,,,"instruction with mode, or different keys under instruction group? ",,,,,life,,,,life,,,,,"CG: life/salvation, and long life better key or just mode? ",,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,10-19,10,,,,,,,,,?? ,"receptivity, acceptance",,,guidance/pursuit,,,,,"check key and group, make sure none better later, also AC like above",,,,,life,,,,life,,,,,"CG: life/salvation, and long life better key or just mode? ",,,,,,"for all like this, combining a mode/pursuit with virtue, NEED TO DECIDE GROUP AND FORMAT (SPLIT OR KEEP WITH MODE)"
P,,,,,,,,,pro,4,10-19,11-12?,,,,,,,,,instruction,,,,guidance/pursuit,,,,,"gen = of wisdom, or separate from wisdom",,,,,wisdom & uprightness/guidance? ,,,,wisdom/guidance (path),,,,,,,,,,,"is this self contained to this verse with this relationship, or connected to 10-13"
P,,,,,,,,,pro,4,10-19,11-12,,,,,,,,,wisdom & uprightness (paths),,,,wisdom/pursuit & guidance/pursuit,,,,,,,,,,straight/clear path,,,,guidance (path),,,,,,,,,,,
P,,,,,,,,,pro,4,10-19,13,,,,,,,,,instruction,,,,guidance/pursuit,,,,,"mode or separate?: take hold, keep, retain, don't let go, etc; she=instruction, not wisdom? ",,,,,life,,,,life,,,,,,,,,,,
F,,,,,,,,,pro,4,10-19,14-16 (-19?),,,,,,,,,don't do.... ,,,,?? ,,,,,,,,,,avoid .... ,,,,?? ,,,,,,,,,,,
P,,,,,,,,,pro,4,10-19,18 (-19 comp?),,,,,,,,,righteousness,"righteous, just",,,righteousness,,,,,"path just mode, right?, check specific .keys like others",,,,,guidance,,guidance/safety/path: int from: clear/lighted path,,guidance (path),,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"20,22",,,,,,,,,attentiveness(instruction of words& sayings),,,,guidance/pursuit,,,,,"keep modes separate like 1/10, also 8-9?",,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"20,22",,,,,,,,,listening(instruction of words& sayings),,,,guidance/pursuit,,,,,"keep modes separate like 1/10, also 8-9?",,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"20,22",,,,,,,,,instruction,,,,guidance/pursuit,,,,,like ^,,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"21,22",,,,,,,,,seek? (instruction),,,,guidance/pursuit,,,,,,,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"21,22",,,,,,,,,treasure in heart (instruction of words& sayings),,,,guidance/pursuit,,,,,,,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,20-22,"21,22",,,,,,,,,find instruction (instruction of words& sayings),,,,guidance/pursuit,,,,,,,,,,life & health,,,,life & health,,,,,,,,,,,
P,,,,,,,,,pro,4,23,23,,,,,,,,,?? ,,"guard heart: self control, good desires, obedience, etc? ",,righteousness,,,,,"guard heart: self control, good desires, obedience, etc? ",,,,,life,,,,life,,,,,validation? ,,,,,,
P,,,,,,,,,pro,4,23,23,,,,,,,,,diligence,,,,?? / righteousness ,,,,,,,,,,life,,,,life,,,,,validation? ,,,,,,
F,,,,,,,,,pro,4,24 (likely only if do 23-24),24,,,,,,,,,?? ,,"honesty/etc, self control/good speech (speech maybe just mode?),",,?? ,,,,,"no Y? maybe future; similar X as 23, that's why",,,,,?? ,?? ,?? ,,?? ,,,,,,,,,,,
IP,,,,,,,,,pro,4,20-27,25-27,,,,,,,,,"focus on/ponder/not turn (27)/repentance/etc, right path",,,,,,,,,"maybe later, didn't spend much time",,,,,establishment (of ways)/guidance,,,,?? ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,wisdom,,,,wisdom,attend unto my wisdom,,"give attention to, attentiveness",,,,,,,discretion,,,,wisdom,regard discretion,,,,,,,,,,
P,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,wisdom,,,,wisdom,attend unto my wisdom,,"give attention to, attentiveness",,,,,,,knowledge,,,,wisdom,lips may keep knowledge,,,,,,,,,,
IP,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,attentiveness ,,,,guidance,attend unto my wisdom,,to wisdom,,"own pair, or mode? ",,,,,discretion,,,,wisdom,regard discretion,,,,,,,,,,"own pair, or mode? "
IP,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,attentiveness ,,,,guidance,attend unto my wisdom,,to wisdom,,"own pair, or mode? ",,,,,knowledge,,,,wisdom,lips may keep knowledge,,,,,,,,,,"own pair, or mode? "
P,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,understanding,,,,wisdom,bow thine ear to my understanding,,,,,,,,,discretion,,,,wisdom,regard discretion,,,,,,,,,,
P,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,understanding,,,,wisdom,bow thine ear to my understanding,,,,,,,,,knowledge,,,,wisdom,lips may keep knowledge,,,,,,,,,,
IP,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,listening,,,,guidance,bow thine ear to my understanding,,,,"own pair, or mode? ",,,,,discretion,,,,wisdom,regard discretion,,,,,,,,,,"own pair, or mode? "
IP,,,,,,,,,pro,5,1-2,1-2,,,,,,,,,listening,,,,guidance,bow thine ear to my understanding,,,,"own pair, or mode? ",,,,,knowledge,,,,wisdom,lips may keep knowledge,,,,,,,,,,"own pair, or mode? "
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,blessing,,,,blessing,,,,,,,,,,,
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,joy,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,love & grace? ,,,,?? ,,,,,,,,,,,
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,satisfaction,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,love,,,,love,,,exhilaration,,,,,,,,
IP,,,,,,,,,pro,5,15-23,"15,17,18,19",,,,,,,,,?? ,,"sexual purity, ",,?? ,?? ,,,,,,,,,?? ,"exhilaration, intoxication, ravishment",,,?? ,,,,,"own pair, or mode? ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,6,"1-5 (split 1-3,4-5?)",3,,,,,,,,,humility,,,,humility,humble thyself,,,,,,,,,deliverance,,"freedom, forgiveness, mercy/grace, life(5)",,salvation,deliver thyself,,"from (financial) promises broadly (verses 1-2), or keep life (5)",neighbor,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types",,,,,,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types"
p,,,,,,,,,pro,6,"1-5 (split 1-3,4-5?)",3,,,,,,,,,supplication,"""importunance"", begging","supplication broadly? def of NASB ""importune"" is persistent/desperate begging or pleading",,supplication,make sure thy friend,,,,,,,,,deliverance,,"freedom, forgiveness, mercy/grace, life(5)",,salvation,deliver thyself,,"from (financial) promises broadly (verses 1-2), or keep life (5)",neighbor,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types",,,,,,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types"
IP,,,,,,,,,pro,6,"1-5 (split 1-3,4-5?)",3,,,,,,,,,"""proactiveness""/action, or obedience/""heed instruction""",,"""proactiveness""/action, or obedience/""heed instruction""",,?? ,do this now,,,,example of deep/nuanced pairs with complex and subjective interpretation that could be added later,,,,,deliverance,,"freedom, forgiveness, mercy/grace, life(5)",,salvation,deliver thyself,,"from (financial) promises broadly (verses 1-2), or keep life (5)",neighbor,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types",,,,,,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types"
,,,,,,,,,pro,6,"1-5 (split 1-3,4-5?)",4-5,,,,,,,,,"""not rest""",,"hard work, diligence, persistence, sacrifice, etc",,hard work?/?? ,"give not sleep to thine eyes, nor slumber to thine eyelids",,,,"""not"" pair, AC when done; better word as interpretation? CG also",,,,,deliverance,,"life, freedom, forgiveness, mercy/grace, life(5)",,salvation,deliver thyself,,"from (financial) promises broadly (verses 1-2), or keep life (5)",,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types",,,,,,"int in context as freedom or mercy/grace in forgiveness (of debt/contract); maybe not change, but potentially add as separate pairs or synonyms/keys later; could also interpret ""instruction/guidance"" as well, pretty much true for all instructive types"
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,pursuit,,"pursuit (with ""go to the ant"")",,pursuit,,,,,,,,,,wisdom,,,,wisdom,,,,,"understand correct, right? ",,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,pursuit,,"pursuit (with ""go to the ant"")",,pursuit,,,,,,,,,,provision,,,,provision,,,,,only to wisdom? ,,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,?? ,"consideration, observation",attentiveness,,heedance,,,,,,,,,,wisdom,,,,wisdom,,,,,"understand correct, right? ",,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,?? ,"consideration, observation",attentiveness,,heedance,,,,,,,,,,provision,,,,provision,,,,,"nuanced difference in NASB; also, provision & hard work? ",,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,wisdom,,,,wisdom,,,,,Y for first part only? ,,,,,provision,,,,provision,,,,,"nuanced difference in NASB; also, provision & hard work? ",,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,hard work,,"hard work/responsibility/diligence/etc, and/or without instruction/guidance (int? self sufficient?)",,hard work?/?? ,"deep reverse int, and only really correlative/ stating that it is wise maybe not makes up wisdom",,,,,,,,,wisdom & self sufficient,,,,wisdom,,,,,,,,,,,
,,,,,,,,,pro,6,6-8,"6,8",,,,,,,,,hard work,,"hard work/responsibility/diligence/etc, and/or without instruction/guidance (int? self sufficient?)",,hard work?/?? ,"deep reverse int, and only really correlative/ stating that it is wise maybe not makes up wisdom",,,,,,,,,provision,,,,provision,,,,,NASB difference makes it more clear and straightforward with preparation -> provision ,,,,,,
,,,,,,,,,pro,6,20-24,"20,22",,,,,,,,,"""observe/keep"" ",,obedience,,righteousness,,,,,general obedience? and/or as separate from obedience m,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,"20,22",,,,,,,,,"""commandment"" ",,,,guidance,,,,,,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,"20,22",,,,,,,,,"""not forsake"" ",,obedience,,righteousness,,,,,general obedience? and/or as separate from obedience m,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,"20,22",,,,,,,,,"""teaching/law"" ",,,,guidance,,,,,,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,"21,22",,,,,,,,,"""bind to heart"" ",,bind to desires,,?? ,,,,,,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,"21,22",,,,,,,,,"""tie around neck"" ",,,,?? ,,,,,,,,,,"guidance, protection/peace/etc, counsel?",,,,,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,23,,,,,,,,,"""commandment"" ",,,,guidance,,,,,,,,,,guidance,,guidance,lamp ,guidance,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,23,,,,,,,,,"""teaching/law"" ",,,,guidance,,,,,,,,,,guidance,,guidance,light,guidance,,,,,,,,,,,
,,,,,,,,,pro,6,20-24,23,,,,,,,,,correction &/or instruction/discipline,"""reproof of instruction/for discipline""",correction,,guidance,,,,,,,,,,life,,,,life,,,way of,,,,,,,,
,,,,,,,,,pro,6,20-24,24,,,,,,,,,"""commandment"" & ""teaching/law"" & correction &/or instruction/discipline &/OR guidance & ""way of life"" ",,,,,,,,,,,,,,self control/keep from temptation/(sexual) purity,,,,purity,,,,,,,,,,,
,,,,,,,,,pro,6,25-35,30,,,,,,,,,poverty/humility,,poverty/humility,,,,,,,"really deep, significantly interpreted, and likely not even a positive (as in not an X you ""choose"", but rather a neutral declarative statement, but I can see an interpretation from the generalized neutral statement of it being better to have nothing and be humble (from externally or internally) and therefore when we choose to be humble and hold on to nothing, we will have more grace and (even more debatable) provision)",,,,,grace/mercy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,7,1-5 (1-3? 4-5?),"1,2,3,4,5",,,,,,,,,words & commandments; modes of keep and treasure,,,,instruction & obedience,,,,,,,,,,,,"Y? life and/or like others in 1-3, or all pointing to later (5, and avoid 6-23)",,,,,,,,,,,,,just instruction? no firm/obvious meaning apart from a general instruction/guidance and obedience/righteousness to them -> life/sexual purit/avoid a bunch of bad things
F,,,,,,,,,pro,7,1-5 (1-3? 4-5?),"1,2,3,4,5",,,,,,,,,modes of instruction,,,,,,,,,,,,,,instruction,,instruction/guidance (gain/have),,instruction,,,,,"very loosely interpreted, gain/have instruction/guidance by doing those",,,,,,"very loosely interpreted, gain/have instruction/guidance by doing those"
P,,,,,,,,,pro,7,1-5 (1-3? 4-5?),2,,,,,,,,,instruction,,instruction,,instruction,commandments,,,,,,,,,life,,,,life,live,,,,,,,,,,
P,,,,,,,,,pro,7,1-5 (1-3? 4-5?),2,,,,,,,,,obedience,,obedience,,righteousness,keep my commandments,,,,,,,,,life,,,,life,live,,,,,,,,,,
F,,,,,,,,,pro,7,1-5 (1-3? 4-5?),2,,,,,,,,,guard instruction,,,,instruction/righteousness,keep|my law as the apple of thine eye,,,,,,,,,"either, something that's the same Y as guard eyes, or just simple command of focus on it",,,,,,,,,,,,,,,
P,,,,,,,,,pro,7,1-5 (1-3? 4-5?),"4,5",,,,,,,,,wisdom,,,,wisdom,wisdom,,,,int context of valuing/loving it for mode or even separate? ,,,,,"""keep from strange woman"" & ""flattering stranger"" ",,self control/keep from temptation/(sexual) purity/ or protection from deception/prudence/etc,,purity,"keep thee from the strange woman, from the stranger which flattereth with her words",,,,,,,,,,
P,,,,,,,,,pro,7,1-5 (1-3? 4-5?),"4,5",,,,,,,,,understanding,,,,wisdom,understanding,,,,int context of valuing/loving it for mode or even separate? ,,,,,"""keep from strange woman"" & ""flattering stranger"" ",,self control/keep from temptation/(sexual) purity/ or protection from deception/prudence/etc,,purity,"keep thee from the strange woman, from the stranger which flattereth with her words",,,,,,,,,,
F,,,,,,,,,pro,7,24-27,"24,25",,,,,,,,,instruction,,,,instruction,,,,,& modes (listening & attention/heed),,,,,"either low confidence int of general ""righteousness"" (from 25, or other int); or just negative/things to avoid",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,pro,8,1-9 (-11?),"5,10,11",,,,,,,,,"understanding & prudence & wisdom & ""heart""",,,,,,,,,,,,,,?? maybe better/value in 10-11,,,,,,,,,,,,,,,
p,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,excellence (knowledge),,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,right things (knowledge/truth general),,truth/knowledge,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,revelation,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,listening (from 1-6),,,,,,,,,,,,,,excellence (knowledge),,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,listening (from 1-6),,,,,,,,,,,,,,right things (knowledge/truth general),,truth/knowledge,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),6,,,,,,,,,listening (from 1-6),,,,,,,,,,,,,,revelation,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,1-9 (-11?),7,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,truth,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),7,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,see wickedness as an abomination'/! wicked,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),7,,,,,,,,,listening (from 1-6),,,,,,,,,,,,,,truth & see wickedness as an abomination'/! wicked,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,1-9 (-11?),8,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,righteousness,,,,,,,,,,,,,,,"relationship, or just statement? "
IP,,,,,,,,,pro,8,1-9 (-11?),8,,,,,,,,,wisdom ,,,,wisdom,,,,,,,,,,! froward ,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),8,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,! perverse,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),8,,,,,,,,,listening (from 1-6),,,,,,,,,,,,,,righteousness & ! froward & ! perverse,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),9,,,,,,,,,understanding,,,,,,,,,,,,,,wise words are plain,,"clarity, understanding, knowledge, wisdom",,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),9,,,,,,,,,knowledge,,,,,,,,,,,,,,right (of wisdom) words,,truth,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),9,,,,,,,,,"pursuit, or revelation? (find, mode only?)",,,,,,,,,,,,,,right (of wisdom) words,,truth,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,1-9 (-11?),9,,,,,,,,,wisdom (int from wise words bringing truth/knowledge from being straightforward and right),,,,,,,,,,,,,,^,,,,,,,,,,,,,,,
F,,,,,,,,,pro,8,10-11,"10,11",,,,,,,,,instruction & wisdom (mode) & 'pursuit' & knowledge,,,,,,,,,,,,,,better/value,,,,,,,,,,,,,,,
F,,,,,,,,,pro,8,10-11,"10,11",,,,,,,,,wisdom & wisdom,,,,,,,,,,,,,,better/value,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,12,,,,,,,,,wisdom (/prudence?),,,,wisdom,,,,,,,,,,(wisdom/) prudence,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,12-21,12,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,find (revelation int?),,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,12,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,knowledge,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,12,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,witty inventions (discretion NASB),,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,12-21,13,,,,,,,,,reverence/ ! evil,,,,reverence/ ! evil,,,,,,,,,,reverence/ ! evil,,,,,,,,,,,,,,,"relationship, or just statement? "
IP,,,,,,,,,pro,8,12-21,13,,,,,,,,,wisdom,,,,wisdom,,,,,,,,,,! arrogance & ! evil way & ! froward mouth,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,14,,,,,,,,,wisdom,,,,,,,,,,,,,,counsel/guidance,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,14,,,,,,,,,wisdom,,,,,,,,,,,,,,wisdom,,,,,,,,,,,,,,,
P,,,,,,,,,pro,8,12-21,14,,,,,,,,,wisdom,,,,,,,,,,,,,,understanding,,,,,,,,,,,,,,,"relationship, or just statement? "
P,,,,,,,,,pro,8,12-21,14,,,,,,,,,wisdom,,,,,,,,,,,,,,strength/power,,,,,,,,,,,,,,,
IP,,,,,,,,,pro,8,12-21,15,,,,,,,,,wisdom,,,,,,,,,,,,,,kings reign,,,,,,,,,,,,,,,"relationship, or just statement? "
